sample_name,sample_id,sample_number,volume,volume_unit,qubit_concentration,nanodrop_concentration,concentration,concentration_unit,a260_280_ratio,a260_230_ratio,sample_type,priority,status,lab_name,chart_field
JL-147-260,HTSF-260,260,280.0,μL,260.0,230.0,260.0,ng/μL,1.0,1.0,DNA,normal,submitted,HTSF Lab,HTSF-JL-147
JL-147-002,HTSF-002,2,298.9,μL,1.84,2.0,2.0,ng/μL,3.0,2.0,DNA,normal,submitted,HTSF Lab,HTSF-JL-147
JL-147-314.05,HTSF-314.05,3,1.84,μL,3.0,5.0,5.0,ng/μL,2.0,348.2,DNA,normal,submitted,HTSF Lab,HTSF-JL-147
JL-147-1.84,HTSF-1.84,4,4.0,μL,6.0,2.0,6.0,ng/μL,346.75,1.84,DNA,normal,submitted,HTSF Lab,HTSF-JL-147
JL-147-005,HTSF-005,5,10.0,μL,2.0,294.1,294.1,ng/μL,1.84,6.0,DNA,normal,submitted,HTSF Lab,HTSF-JL-147
JL-147-013,HTSF-013,13,2.0,μL,225.9,1.84,225.9,ng/μL,7.0,14.0,DNA,normal,submitted,HTSF Lab,HTSF-JL-147
JL-147-002,HTSF-002,2,367.85,μL,1.84,8.0,8.0,ng/μL,17.0,2.0,DNA,normal,submitted,HTSF Lab,HTSF-JL-147
JL-147-274.85,HTSF-274.85,8,1.84,μL,9.0,19.0,19.0,ng/μL,2.0,189.1,DNA,normal,submitted,HTSF Lab,HTSF-JL-147
JL-147-1.84,HTSF-1.84,9,10.0,μL,24.0,2.0,24.0,ng/μL,160.8,1.84,DNA,normal,submitted,HTSF Lab,HTSF-JL-147
JL-147-011,HTSF-011,11,25.0,μL,2.0,265.75,265.75,ng/μL,1.84,12.0,DNA,normal,submitted,HTSF Lab,HTSF-JL-147
JL-147-026,HTSF-026,26,2.0,μL,277.15,1.83,277.15,ng/μL,13.0,27.0,DNA,normal,submitted,HTSF Lab,HTSF-JL-147
JL-147-002,HTSF-002,2,210.2,μL,1.84,14.0,14.0,ng/μL,30.0,2.0,DNA,normal,submitted,HTSF Lab,HTSF-JL-147
JL-147-260.25,HTSF-260.25,13,1.83,μL,15.0,32.0,32.0,ng/μL,2.0,281.85,DNA,normal,submitted,HTSF Lab,HTSF-JL-147
JL-147-1.85,HTSF-1.85,14,16.0,μL,33.0,2.0,33.0,ng/μL,293.75,1.83,DNA,normal,submitted,HTSF Lab,HTSF-JL-147
JL-147-017,HTSF-017,17,37.0,μL,2.0,340.9,340.9,ng/μL,1.83,18.0,DNA,normal,submitted,HTSF Lab,HTSF-JL-147
JL-147-038,HTSF-038,38,2.0,μL,340.6,1.84,340.6,ng/μL,19.0,39.0,DNA,normal,submitted,HTSF Lab,HTSF-JL-147
JL-147-002,HTSF-002,2,238.0,μL,1.83,20.0,20.0,ng/μL,42.0,2.0,DNA,normal,submitted,HTSF Lab,HTSF-JL-147
JL-147-358.6,HTSF-358.6,18,1.84,μL,21.0,46.0,46.0,ng/μL,2.0,223.0,DNA,normal,submitted,HTSF Lab,HTSF-JL-147
JL-147-1.84,HTSF-1.84,19,22.0,μL,47.0,2.0,47.0,ng/μL,409.2,1.84,DNA,normal,submitted,HTSF Lab,HTSF-JL-147
JL-147-023,HTSF-023,23,48.0,μL,2.0,307.55,307.55,ng/μL,1.83,24.0,DNA,normal,submitted,HTSF Lab,HTSF-JL-147
JL-147-049,HTSF-049,49,2.0,μL,202.8,1.84,202.8,ng/μL,25.0,52.0,DNA,normal,submitted,HTSF Lab,HTSF-JL-147
JL-147-002,HTSF-002,2,254.45,μL,1.84,26.0,26.0,ng/μL,53.0,2.0,DNA,normal,submitted,HTSF Lab,HTSF-JL-147
JL-147-468.75,HTSF-468.75,23,1.84,μL,27.0,54.0,54.0,ng/μL,2.0,234.2,DNA,normal,submitted,HTSF Lab,HTSF-JL-147
JL-147-1.84,HTSF-1.84,24,28.0,μL,55.0,2.0,55.0,ng/μL,330.1,1.84,DNA,normal,submitted,HTSF Lab,HTSF-JL-147
JL-147-029,HTSF-029,29,56.0,μL,2.0,286.6,286.6,ng/μL,1.84,30.0,DNA,normal,submitted,HTSF Lab,HTSF-JL-147
JL-147-057,HTSF-057,57,2.0,μL,302.85,1.84,302.85,ng/μL,31.0,58.0,DNA,normal,submitted,HTSF Lab,HTSF-JL-147
JL-147-002,HTSF-002,2,390.55,μL,1.83,32.0,32.0,ng/μL,61.0,2.0,DNA,normal,submitted,HTSF Lab,HTSF-JL-147
JL-147-246.55,HTSF-246.55,28,1.84,μL,33.0,64.0,64.0,ng/μL,2.0,234.55,DNA,normal,submitted,HTSF Lab,HTSF-JL-147
JL-147-1.84,HTSF-1.84,29,34.0,μL,66.0,2.0,66.0,ng/μL,318.7,1.84,DNA,normal,submitted,HTSF Lab,HTSF-JL-147
JL-147-035,HTSF-035,35,72.0,μL,2.0,282.2,282.2,ng/μL,1.84,36.0,DNA,normal,submitted,HTSF Lab,HTSF-JL-147
JL-147-075,HTSF-075,75,2.0,μL,182.15,1.83,182.15,ng/μL,37.0,77.0,DNA,normal,submitted,HTSF Lab,HTSF-JL-147
JL-147-002,HTSF-002,2,263.45,μL,1.84,38.0,38.0,ng/μL,82.0,2.0,DNA,normal,submitted,HTSF Lab,HTSF-JL-147
JL-147-229.5,HTSF-229.5,33,1.83,μL,39.0,85.0,85.0,ng/μL,2.0,289.25,DNA,normal,submitted,HTSF Lab,HTSF-JL-147
JL-147-1.83,HTSF-1.83,34,40.0,μL,86.0,2.0,86.0,ng/μL,235.0,1.83,DNA,normal,submitted,HTSF Lab,HTSF-JL-147
JL-147-041,HTSF-041,41,87.0,μL,2.0,286.6,286.6,ng/μL,1.84,42.0,DNA,normal,submitted,HTSF Lab,HTSF-JL-147
JL-147-090,HTSF-090,90,2.0,μL,215.65,1.84,215.65,ng/μL,43.0,91.0,DNA,normal,submitted,HTSF Lab,HTSF-JL-147
JL-147-002,HTSF-002,2,347.4,μL,1.84,44.0,44.0,ng/μL,92.0,2.0,DNA,normal,submitted,HTSF Lab,HTSF-JL-147
JL-147-316.3,HTSF-316.3,38,1.83,μL,45.0,93.0,93.0,ng/μL,2.0,267.5,DNA,normal,submitted,HTSF Lab,HTSF-JL-147
JL-147-1.86,HTSF-1.86,39,46.0,μL,95.0,2.0,95.0,ng/μL,333.25,1.87,DNA,normal,submitted,HTSF Lab,HTSF-JL-147
JL-147-047,HTSF-047,47,96.0,μL,2.0,270.45,270.45,ng/μL,1.85,48.0,DNA,normal,submitted,HTSF Lab,HTSF-JL-147
JL-147-097,HTSF-097,97,2.0,μL,325.15,1.83,325.15,ng/μL,49.0,101.0,DNA,normal,submitted,HTSF Lab,HTSF-JL-147
JL-147-002,HTSF-002,2,302.8,μL,1.84,50.0,50.0,ng/μL,102.0,2.0,DNA,normal,submitted,HTSF Lab,HTSF-JL-147
JL-147-248.15,HTSF-248.15,43,1.82,μL,51.0,105.0,105.0,ng/μL,2.0,284.05,DNA,normal,submitted,HTSF Lab,HTSF-JL-147
JL-147-1.84,HTSF-1.84,44,52.0,μL,106.0,2.0,106.0,ng/μL,249.1,1.84,DNA,normal,submitted,HTSF Lab,HTSF-JL-147
JL-147-053,HTSF-053,53,110.0,μL,2.0,215.55,215.55,ng/μL,1.84,54.0,DNA,normal,submitted,HTSF Lab,HTSF-JL-147
JL-147-112,HTSF-112,112,2.0,μL,321.95,1.84,321.95,ng/μL,55.0,113.0,DNA,normal,submitted,HTSF Lab,HTSF-JL-147
JL-147-002,HTSF-002,2,254.45,μL,1.84,56.0,56.0,ng/μL,115.0,2.0,DNA,normal,submitted,HTSF Lab,HTSF-JL-147
JL-147-238.1,HTSF-238.1,48,1.84,μL,57.0,117.0,117.0,ng/μL,2.0,351.45,DNA,normal,submitted,HTSF Lab,HTSF-JL-147
JL-147-1.84,HTSF-1.84,49,58.0,μL,118.0,2.0,118.0,ng/μL,306.45,1.84,DNA,normal,submitted,HTSF Lab,HTSF-JL-147
JL-147-059,HTSF-059,59,123.0,μL,2.0,162.2,162.2,ng/μL,1.83,60.0,DNA,normal,submitted,HTSF Lab,HTSF-JL-147
JL-147-125,HTSF-125,125,2.0,μL,270.95,1.84,270.95,ng/μL,61.0,127.0,DNA,normal,submitted,HTSF Lab,HTSF-JL-147
JL-147-002,HTSF-002,2,245.9,μL,1.83,62.0,62.0,ng/μL,129.0,2.0,DNA,normal,submitted,HTSF Lab,HTSF-JL-147
JL-147-305.65,HTSF-305.65,53,1.84,μL,63.0,131.0,131.0,ng/μL,2.0,170.4,DNA,normal,submitted,HTSF Lab,HTSF-JL-147
