sample_name,sample_id,volume,volume_unit,qubit_concentration,nanodrop_concentration,concentration,concentration_unit,a260_280_ratio,a260_230_ratio,sample_type,priority,status,lab_name,chart_field
/A,HTSF-001,280.0,μL,0.0,0.0,0.0,ng/μL,260.0,2.0,DNA,normal,submitted,HTSF Lab,HTSF-JL-147
JL-147-230,HTSF-230,50.0,μL,1.0,1.0,1.0,ng/μL,2.0,298.9,DNA,normal,submitted,HTSF Lab,HTSF-JL-147
1.84,HTSF-003,2.0,μL,3.0,2.0,3.0,ng/μL,314.05,1.84,DNA,normal,submitted,HTSF Lab,HTSF-JL-147
JL-147-3,HTSF-003,5.0,μL,2.0,348.2,348.2,ng/μL,1.84,4.0,DNA,normal,submitted,HTSF Lab,HTSF-JL-147
JL-147-6,HTSF-006,2.0,μL,346.75,1.84,346.75,ng/μL,5.0,10.0,DNA,normal,submitted,HTSF Lab,HTSF-JL-147
JL-147-2,HTSF-002,294.1,μL,1.84,6.0,6.0,ng/μL,13.0,2.0,DNA,normal,submitted,HTSF Lab,HTSF-JL-147
225.9,HTSF-007,1.84,μL,7.0,14.0,14.0,ng/μL,2.0,367.85,DNA,normal,submitted,HTSF Lab,HTSF-JL-147
1.84,HTSF-008,8.0,μL,17.0,2.0,17.0,ng/μL,274.85,1.84,DNA,normal,submitted,HTSF Lab,HTSF-JL-147
JL-147-9,HTSF-009,19.0,μL,2.0,189.1,189.1,ng/μL,1.84,10.0,DNA,normal,submitted,HTSF Lab,HTSF-JL-147
JL-147-24,HTSF-024,2.0,μL,160.8,1.84,160.8,ng/μL,11.0,25.0,DNA,normal,submitted,HTSF Lab,HTSF-JL-147
JL-147-2,HTSF-002,265.75,μL,1.84,12.0,12.0,ng/μL,26.0,2.0,DNA,normal,submitted,HTSF Lab,HTSF-JL-147
277.15,HTSF-012,1.83,μL,13.0,27.0,27.0,ng/μL,2.0,210.2,DNA,normal,submitted,HTSF Lab,HTSF-JL-147
1.84,HTSF-013,14.0,μL,30.0,2.0,30.0,ng/μL,260.25,1.83,DNA,normal,submitted,HTSF Lab,HTSF-JL-147
JL-147-15,HTSF-015,32.0,μL,2.0,281.85,281.85,ng/μL,1.85,16.0,DNA,normal,submitted,HTSF Lab,HTSF-JL-147
JL-147-33,HTSF-033,2.0,μL,293.75,1.83,293.75,ng/μL,17.0,37.0,DNA,normal,submitted,HTSF Lab,HTSF-JL-147
JL-147-2,HTSF-002,340.9,μL,1.83,18.0,18.0,ng/μL,38.0,2.0,DNA,normal,submitted,HTSF Lab,HTSF-JL-147
340.6,HTSF-017,1.84,μL,19.0,39.0,39.0,ng/μL,2.0,238.0,DNA,normal,submitted,HTSF Lab,HTSF-JL-147
1.83,HTSF-018,20.0,μL,42.0,2.0,42.0,ng/μL,358.6,1.84,DNA,normal,submitted,HTSF Lab,HTSF-JL-147
JL-147-21,HTSF-021,46.0,μL,2.0,223.0,223.0,ng/μL,1.84,22.0,DNA,normal,submitted,HTSF Lab,HTSF-JL-147
JL-147-47,HTSF-047,2.0,μL,409.2,1.84,409.2,ng/μL,23.0,48.0,DNA,normal,submitted,HTSF Lab,HTSF-JL-147
JL-147-2,HTSF-002,307.55,μL,1.83,24.0,24.0,ng/μL,49.0,2.0,DNA,normal,submitted,HTSF Lab,HTSF-JL-147
202.8,HTSF-022,1.84,μL,25.0,52.0,52.0,ng/μL,2.0,254.45,DNA,normal,submitted,HTSF Lab,HTSF-JL-147
1.84,HTSF-023,26.0,μL,53.0,2.0,53.0,ng/μL,468.75,1.84,DNA,normal,submitted,HTSF Lab,HTSF-JL-147
JL-147-27,HTSF-027,54.0,μL,2.0,234.2,234.2,ng/μL,1.84,28.0,DNA,normal,submitted,HTSF Lab,HTSF-JL-147
JL-147-55,HTSF-055,2.0,μL,330.1,1.84,330.1,ng/μL,29.0,56.0,DNA,normal,submitted,HTSF Lab,HTSF-JL-147
JL-147-2,HTSF-002,286.6,μL,1.84,30.0,30.0,ng/μL,57.0,2.0,DNA,normal,submitted,HTSF Lab,HTSF-JL-147
302.85,HTSF-027,1.84,μL,31.0,58.0,58.0,ng/μL,2.0,390.55,DNA,normal,submitted,HTSF Lab,HTSF-JL-147
1.83,HTSF-028,32.0,μL,61.0,2.0,61.0,ng/μL,246.55,1.84,DNA,normal,submitted,HTSF Lab,HTSF-JL-147
JL-147-33,HTSF-033,64.0,μL,2.0,234.55,234.55,ng/μL,1.84,34.0,DNA,normal,submitted,HTSF Lab,HTSF-JL-147
JL-147-66,HTSF-066,2.0,μL,318.7,1.84,318.7,ng/μL,35.0,72.0,DNA,normal,submitted,HTSF Lab,HTSF-JL-147
JL-147-2,HTSF-002,282.2,μL,1.84,36.0,36.0,ng/μL,75.0,2.0,DNA,normal,submitted,HTSF Lab,HTSF-JL-147
182.15,HTSF-032,1.83,μL,37.0,77.0,77.0,ng/μL,2.0,263.45,DNA,normal,submitted,HTSF Lab,HTSF-JL-147
1.84,HTSF-033,38.0,μL,82.0,2.0,82.0,ng/μL,229.5,1.83,DNA,normal,submitted,HTSF Lab,HTSF-JL-147
JL-147-39,HTSF-039,85.0,μL,2.0,289.25,289.25,ng/μL,1.83,40.0,DNA,normal,submitted,HTSF Lab,HTSF-JL-147
JL-147-86,HTSF-086,2.0,μL,235.0,1.83,235.0,ng/μL,41.0,87.0,DNA,normal,submitted,HTSF Lab,HTSF-JL-147
JL-147-2,HTSF-002,286.6,μL,1.84,42.0,42.0,ng/μL,90.0,2.0,DNA,normal,submitted,HTSF Lab,HTSF-JL-147
215.65,HTSF-037,1.84,μL,43.0,91.0,91.0,ng/μL,2.0,347.4,DNA,normal,submitted,HTSF Lab,HTSF-JL-147
1.84,HTSF-038,50.0,μL,44.0,92.0,92.0,ng/μL,2.0,316.3,DNA,normal,submitted,HTSF Lab,HTSF-JL-147
1.83,HTSF-039,45.0,μL,93.0,2.0,93.0,ng/μL,267.5,1.86,DNA,normal,submitted,HTSF Lab,HTSF-JL-147
